repo,url,has_test_folder,num_test_files,frameworks_detected
SFTtech/openage,https://github.com/SFTtech/openage,True,17,Nenhum
rwv/chinese-dos-games,https://github.com/rwv/chinese-dos-games,False,0,Nenhum
AirtestProject/Airtest,https://github.com/AirtestProject/Airtest,True,26,"unittest, nose"
yenchenlin/DeepLearningFlappyBird,https://github.com/yenchenlin/DeepLearningFlappyBird,False,0,Nenhum
CharlesPikachu/Games,https://github.com/CharlesPikachu/Games,False,0,nose
TakWolf/ark-pixel-font,https://github.com/TakWolf/ark-pixel-font,False,0,Nenhum
datamllab/rlcard,https://github.com/datamllab/rlcard,True,30,unittest
lxgr-linux/pokete,https://github.com/lxgr-linux/pokete,True,2,unittest
gmh5225/awesome-game-security,https://github.com/gmh5225/awesome-game-security,False,0,Nenhum
plbrault/youre-the-os,https://github.com/plbrault/youre-the-os,True,4,pytest
AirtestProject/Poco,https://github.com/AirtestProject/Poco,True,11,unittest
chuyangliu/snake,https://github.com/chuyangliu/snake,True,9,pytest
TakWolf/fusion-pixel-font,https://github.com/TakWolf/fusion-pixel-font,False,0,Nenhum
unknown-horizons/unknown-horizons,https://github.com/unknown-horizons/unknown-horizons,True,72,"unittest, pytest"
glumpy/glumpy,https://github.com/glumpy/glumpy,True,8,"unittest, nose"
ntasfi/PyGame-Learning-Environment,https://github.com/ntasfi/PyGame-Learning-Environment,True,2,"unittest, nose"
OTFCG/Awesome-Game-Analysis,https://github.com/OTFCG/Awesome-Game-Analysis,False,0,Nenhum
mpcabete/bombcrypto-bot,https://github.com/mpcabete/bombcrypto-bot,False,0,Nenhum
bfontaine/term2048,https://github.com/bfontaine/term2048,True,4,unittest
Trilarion/opensourcegames,https://github.com/Trilarion/opensourcegames,False,0,unittest
LoveDaisy/tetris_game,https://github.com/LoveDaisy/tetris_game,False,0,Nenhum
learnbyexample/TUI-apps,https://github.com/learnbyexample/TUI-apps,False,0,Nenhum
maxpumperla/betago,https://github.com/maxpumperla/betago,True,10,unittest
EmbraceAGI/LifeReloaded,https://github.com/EmbraceAGI/LifeReloaded,False,0,Nenhum
kidscancode/pygame_tutorials,https://github.com/kidscancode/pygame_tutorials,False,7,Nenhum
CharlesPikachu/AIGames,https://github.com/CharlesPikachu/AIGames,False,0,Nenhum
efroemling/ballistica,https://github.com/efroemling/ballistica,True,14,"pytest, unittest, nose"
ppizarror/pygame-menu,https://github.com/ppizarror/pygame-menu,True,29,"pytest, unittest, nose"
shlomif/PySolFC,https://github.com/shlomif/PySolFC,True,9,"unittest, nose"
sotetsuk/pgx,https://github.com/sotetsuk/pgx,True,26,Nenhum
opendilab/GoBigger,https://github.com/opendilab/GoBigger,True,28,"pytest, unittest"
Fuyukai/OWAPI,https://github.com/Fuyukai/OWAPI,False,0,Nenhum
Cledersonbc/tic-tac-toe-minimax,https://github.com/Cledersonbc/tic-tac-toe-minimax,False,0,Nenhum
remyroy/CDDA-Game-Launcher,https://github.com/remyroy/CDDA-Game-Launcher,False,0,Nenhum
fofix/fofix,https://github.com/fofix/fofix,True,11,unittest
fyyakaxyy/AnimationGPT,https://github.com/fyyakaxyy/AnimationGPT,False,0,Nenhum
singularity/singularity,https://github.com/singularity/singularity,True,6,pytest
surya-veer/movement-tracking,https://github.com/surya-veer/movement-tracking,False,0,nose
Frimkron/mud-pi,https://github.com/Frimkron/mud-pi,False,0,Nenhum
drvinceknight/Nashpy,https://github.com/drvinceknight/Nashpy,True,18,"unittest, pytest"
iholston/lol-bot,https://github.com/iholston/lol-bot,False,0,Nenhum
hrpan/tetris_mcts,https://github.com/hrpan/tetris_mcts,False,1,Nenhum
yangshun/2048-python,https://github.com/yangshun/2048-python,False,0,Nenhum
uoftcprg/pokerkit,https://github.com/uoftcprg/pokerkit,True,10,unittest
